layer,mean_diff,jsd,cohens_d
0,-0.19063859939575067,0.1486771422304426,-0.769866036033137
1,0.5152329397201538,0.04732526560486383,0.3968909105755255
2,0.7492156243324282,0.06513635341636845,0.4875980921769857
3,1.4141222953796397,0.10097234763612561,0.9532485434211184
4,1.5455924606323244,0.10055670618386758,1.0428290998551797
5,2.5772536587715145,0.26299729624273616,1.3816747558955162
6,2.706740689277648,0.25367521310701,1.3398211632373727
7,3.350887556076051,0.26466674058462136,1.627062512449283
8,3.682268534898758,0.1906262247666104,1.3023496514338804
9,2.461188607215881,0.1296219378812151,0.8952852472929198
10,2.891740515232085,0.1317162598154254,0.9500570989311048
11,3.5125901246070868,0.1163509550444799,0.9127268938922127
12,5.211469228267669,0.16749476571519087,1.1256750322672613
13,5.970277860164643,0.2641405948211003,1.7102730838654396
14,5.285821797847747,0.20553806772564887,1.4403804371740694
15,3.9194619154930113,0.1292926297535607,1.0483549999001591
16,2.4871468257904055,0.060831995428939606,0.6006186970656808
17,1.9585374164581317,0.045935636610004535,0.4025325712914521
18,3.0105809974670414,0.0881570351971277,0.7741168821764564
19,2.7896289348602323,0.07881256395794979,0.8323797964447056
20,8.111707124710083,0.4351837398032209,2.477437785330008
21,8.720030648708343,0.4081451529270269,2.5601798598991032
22,8.728017377853394,0.348211534567491,2.3934772767446004
23,6.099586091041566,0.08416684917507264,0.9920413937647456
24,6.4333029460906985,0.08699537818277223,0.9235701559730131
25,5.5592463493347175,0.05865644228778434,0.6041573093375602
26,19.072399631738662,0.21375638154281124,1.7031588279688372
27,20.81693299293518,0.22556170116628516,1.7265768656825948
28,20.33937720298767,0.17956771187986426,1.509327392113117
29,26.5979022026062,0.2393095206658573,1.840185829656307
30,33.97677375793458,0.25375090285109075,1.9426540354675021
31,-8.201033935546889,0.04507793996122102,-0.309153102608545
