layer,mean_diff,jsd,cohens_d
0,-0.17217807769775106,0.25216120263764263,-0.16171681849606329
1,-0.40035827636718746,0.05682874868211069,-0.3116333179951209
2,0.3058333826065065,0.021740174173252576,0.19656962782910897
3,0.3573664903640754,0.03156356933383804,0.22444537192196584
4,0.7616011428833023,0.04185096924245744,0.5652596826678074
5,0.7252793049812318,0.060250824151973505,0.4106023187667983
6,0.18985569953918358,0.03572053588077401,0.09707013978771646
7,0.06104702472686796,0.035963722442694614,0.02682145165845939
8,-0.4099073028564453,0.04041567864293734,-0.17105380668917333
9,-1.6942067527770996,0.10497866261403875,-0.7181502412740342
10,-0.9631776988506324,0.06176608060513641,-0.3383154685985002
11,-0.1214729744195937,0.05711890562726044,-0.03519083416968385
12,-1.6545745801925662,0.09409439060444907,-0.46768041791700526
13,-1.689996061325072,0.11143306114347326,-0.573615315960817
14,-1.9596062564849852,0.10065143790740286,-0.6021939529596873
15,-0.5382615840435028,0.062080091260031445,-0.17850069737555738
16,-0.6294185590744018,0.04912836938441663,-0.20253224464451924
17,-2.0366729164123534,0.0934348339621216,-0.6298122098728391
18,-0.3264484214782719,0.030989492409385474,-0.10838781965150267
19,-0.09299599647521717,0.021746114894867205,-0.03308708314875332
20,5.528659224510192,0.3217173024439022,1.809566121839169
21,7.9940061235427855,0.4192497738189265,2.2243103082374738
22,7.313064894676209,0.2922396115412039,1.8130031411166831
23,9.405471177101138,0.15284515263498122,1.0080980200031862
24,17.737312707900998,0.3136264850835693,1.577836933856149
25,21.54077045440674,0.2658495915432072,1.629784394109182
26,28.134681622982022,0.2784762338239866,1.6178539053063739
27,27.86479876041412,0.2478764182642998,1.5016417905192447
28,30.732456817626954,0.23801834752450968,1.5129993709101905
29,42.21026031494141,0.3231252616212227,1.8602817799311846
30,53.55808799743653,0.3486641456450503,1.9602900676232304
31,65.63897888183592,0.2756755347380432,1.5719479822535294
